;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
111;3491;['manager convenience store gas station', 'presidential apartments manager durham nc', 'business manager', 'teacher', 'manager awards shop sales excellence', 'night manager retail specialty store', 'phone interviewer'];['41-1011', '11-9141', '11-1021', '25-2021', '41-1011', '41-1011', '43-4111'];['41-10', '11-90', '11-10', '25-20', '41-10', '41-10', '43-40'];['41', '11', '11', '25', '41', '41', '43'];[('41-1011', '41-10', '41', 'manager convenience store gas station'), ('11-9141', '11-90', '11', 'presidential apartments manager durham nc'), ('11-1021', '11-10', '11', 'business manager'), ('25-2021', '25-20', '25', 'teacher'), ('41-1011', '41-10', '41', 'manager awards shop sales excellence'), ('41-1011', '41-10', '41', 'night manager retail specialty store'), ('43-4111', '43-40', '43', 'phone interviewer')];7
112;3539;['senior warehouse technician', 'customer service special services representative'];['53-7065', '43-4051'];['53-70', '43-40'];['53', '43'];[('53-7065', '53-70', '53', 'senior warehouse technician'), ('43-4051', '43-40', '43', 'customer service special services representative')];2
115;3638;['superintendent', 'superintendent', 'superintendent', 'president'];['11-9021', '11-9021', '11-9021', '11-1011'];['11-90', '11-90', '11-90', '11-10'];['11', '11', '11', '11'];[('11-9021', '11-90', '11', 'superintendent'), ('11-9021', '11-90', '11', 'superintendent'), ('11-9021', '11-90', '11', 'superintendent'), ('11-1011', '11-10', '11', 'president')];4
116;3644;['caregiver', 'member services representative', 'child youth program assistant'];['31-1122', '43-4051', '21-1093'];['31-10', '43-40', '21-10'];['31', '43', '21'];[('31-1122', '31-10', '31', 'caregiver'), ('43-4051', '43-40', '43', 'member services representative'), ('21-1093', '21-10', '21', 'child youth program assistant')];3
117;3688;['assisting customers', 'route sales rep', 'driver warehouse'];['41-2031', '53-3031', '53-3033'];['41-20', '53-30', '53-30'];['41', '53', '53'];[('41-2031', '41-20', '41', 'assisting customers'), ('53-3031', '53-30', '53', 'route sales rep'), ('53-3033', '53-30', '53', 'driver warehouse')];3
118;3699;['sales', 'assistant stylist sales'];['41-2031', '41-2031'];['41-20', '41-20'];['41', '41'];[('41-2031', '41-20', '41', 'sales'), ('41-2031', '41-20', '41', 'assistant stylist sales')];2
119;3752;['aerospace engineer', 'ocean lifeguard'];['17-2011', '33-9092'];['17-20', '33-90'];['17', '33'];[('17-2011', '17-20', '17', 'aerospace engineer'), ('33-9092', '33-90', '33', 'ocean lifeguard')];2
120;3758;['united parcel service ups community internship program cip', 'consultant', 'director youth employment services'];['53-3033', '13-1111', '11-9151'];['53-30', '13-10', '11-90'];['53', '13', '11'];[('53-3033', '53-30', '53', 'united parcel service ups community internship program cip'), ('13-1111', '13-10', '13', 'consultant'), ('11-9151', '11-90', '11', 'director youth employment services')];3
121;3763;['waiter', 'waiter'];['35-3031', '35-3031'];['35-30', '35-30'];['35', '35'];[('35-3031', '35-30', '35', 'waiter'), ('35-3031', '35-30', '35', 'waiter')];2
123;3801;['security guard', 'paratransit driver', 'senior customer sales associate'];['33-9032', '53-3053', '41-2031'];['33-90', '53-30', '41-20'];['33', '53', '41'];[('33-9032', '33-90', '33', 'security guard'), ('53-3053', '53-30', '53', 'paratransit driver'), ('41-2031', '41-20', '41', 'senior customer sales associate')];3
124;3830;['regional sales manager united states canada', 'sales increase'];['11-2022', '41-4012'];['11-20', '41-40'];['11', '41'];[('11-2022', '11-20', '11', 'regional sales manager united states canada'), ('41-4012', '41-40', '41', 'sales increase')];2
126;3846;['office manager account payables', 'senior customer service rep national business services department', 'credit collection representative'];['43-1011', '43-4051', '43-3011'];['43-10', '43-40', '43-30'];['43', '43', '43'];[('43-1011', '43-10', '43', 'office manager account payables'), ('43-4051', '43-40', '43', 'senior customer service rep national business services department'), ('43-3011', '43-30', '43', 'credit collection representative')];3
127;3992;['customer service rep', 'sr account rep', 'asst gen. mngr'];['43-4051', '41-4012', '43-6014'];['43-40', '41-40', '43-60'];['43', '41', '43'];[('43-4051', '43-40', '43', 'customer service rep'), ('41-4012', '41-40', '41', 'sr account rep'), ('43-6014', '43-60', '43', 'asst gen. mngr')];3
131;4049;['director operations', 'general manager', 'consultant general manager', 'training manager', 'i. wolf gang puck cafe corporate operations multi unit manager'];['11-1021', '11-1021', '11-1021', '11-3131', '11-1021'];['11-10', '11-10', '11-10', '11-30', '11-10'];['11', '11', '11', '11', '11'];[('11-1021', '11-10', '11', 'director operations'), ('11-1021', '11-10', '11', 'general manager'), ('11-1021', '11-10', '11', 'consultant general manager'), ('11-3131', '11-30', '11', 'training manager'), ('11-1021', '11-10', '11', 'i. wolf gang puck cafe corporate operations multi unit manager')];5
132;4061;['vice president supply chain operations', 'operations manager', 'regional project accounting manager', 'regional accounting manager', 'general accounting manager', 'controller', 'project management accountant', 'controller'];['11-3071', '11-1021', '11-3031', '11-3031', '11-3031', '11-3031', '13-2011', '11-3031'];['11-30', '11-10', '11-30', '11-30', '11-30', '11-30', '13-20', '11-30'];['11', '11', '11', '11', '11', '11', '13', '11'];[('11-3071', '11-30', '11', 'vice president supply chain operations'), ('11-1021', '11-10', '11', 'operations manager'), ('11-3031', '11-30', '11', 'regional project accounting manager'), ('11-3031', '11-30', '11', 'regional accounting manager'), ('11-3031', '11-30', '11', 'general accounting manager'), ('11-3031', '11-30', '11', 'controller'), ('13-2011', '13-20', '13', 'project management accountant'), ('11-3031', '11-30', '11', 'controller')];8
135;4107;['professional truck driver company', 'district deputy clerk', 'data entry oper iii', 'tsc customer service representative', 'general clerk'];['53-3032', '43-4031', '43-9021', '43-4051', '43-9061'];['53-30', '43-40', '43-90', '43-40', '43-90'];['53', '43', '43', '43', '43'];[('53-3032', '53-30', '53', 'professional truck driver company'), ('43-4031', '43-40', '43', 'district deputy clerk'), ('43-9021', '43-90', '43', 'data entry oper iii'), ('43-4051', '43-40', '43', 'tsc customer service representative'), ('43-9061', '43-90', '43', 'general clerk')];5
136;4125;['food beverage director tampa lowry park zoo', 'sales operations manager', 'sales operations manager'];['11-9051', '11-2022', '11-2022'];['11-90', '11-20', '11-20'];['11', '11', '11'];[('11-9051', '11-90', '11', 'food beverage director tampa lowry park zoo'), ('11-2022', '11-20', '11', 'sales operations manager'), ('11-2022', '11-20', '11', 'sales operations manager')];3
137;4164;['superintendent', 'superintendent kennecott green creek hawk inlet alaska', 'epa superfund site superintendent', 'relief production operator', 'superintendent'];['11-9021', '11-9021', '11-9021', '51-9199', '11-9021'];['11-90', '11-90', '11-90', '51-90', '11-90'];['11', '11', '11', '51', '11'];[('11-9021', '11-90', '11', 'superintendent'), ('11-9021', '11-90', '11', 'superintendent kennecott green creek hawk inlet alaska'), ('11-9021', '11-90', '11', 'epa superfund site superintendent'), ('51-9199', '51-90', '51', 'relief production operator'), ('11-9021', '11-90', '11', 'superintendent')];5
138;4188;['sales consultant', 'computer lab assistant', 'receptionist'];['41-2031', '31-9092', '43-4171'];['41-20', '31-90', '43-40'];['41', '31', '43'];[('41-2031', '41-20', '41', 'sales consultant'), ('31-9092', '31-90', '31', 'computer lab assistant'), ('43-4171', '43-40', '43', 'receptionist')];3
139;4202;['forklift driver', 'forklift driver'];['53-7051', '53-7051'];['53-70', '53-70'];['53', '53'];[('53-7051', '53-70', '53', 'forklift driver'), ('53-7051', '53-70', '53', 'forklift driver')];2
140;4243;['customer service representative', 'cashier', 'customer service representative'];['43-4051', '41-2011', '43-4051'];['43-40', '41-20', '43-40'];['43', '41', '43'];[('43-4051', '43-40', '43', 'customer service representative'), ('41-2011', '41-20', '41', 'cashier'), ('43-4051', '43-40', '43', 'customer service representative')];3
141;4250;['concession', 'clerical'];['35-3023', '43-9061'];['35-30', '43-90'];['35', '43'];[('35-3023', '35-30', '35', 'concession'), ('43-9061', '43-90', '43', 'clerical')];2
146;4360;['global materials planner', 'senior buyer', 'purchasing supervisor', 'senior buyer', 'senior buyer planner', 'buyer planner'];['43-5061', '13-1023', '13-1023', '13-1023', '13-1023', '13-1023'];['43-50', '13-10', '13-10', '13-10', '13-10', '13-10'];['43', '13', '13', '13', '13', '13'];[('43-5061', '43-50', '43', 'global materials planner'), ('13-1023', '13-10', '13', 'senior buyer'), ('13-1023', '13-10', '13', 'purchasing supervisor'), ('13-1023', '13-10', '13', 'senior buyer'), ('13-1023', '13-10', '13', 'senior buyer planner'), ('13-1023', '13-10', '13', 'buyer planner')];6
148;4368;['cashier', 'sales associate', 'sales associate'];['41-2011', '41-2031', '41-2031'];['41-20', '41-20', '41-20'];['41', '41', '41'];[('41-2011', '41-20', '41', 'cashier'), ('41-2031', '41-20', '41', 'sales associate'), ('41-2031', '41-20', '41', 'sales associate')];3
149;4380;['associate', 'associate', 'associate'];['41-2031', '41-2031', '41-2031'];['41-20', '41-20', '41-20'];['41', '41', '41'];[('41-2031', '41-20', '41', 'associate'), ('41-2031', '41-20', '41', 'associate'), ('41-2031', '41-20', '41', 'associate')];3
151;4501;['commercial bank officer', 'personal banker', 'store manager', 'store manager', 'store manager'];['13-2072', '43-4141', '11-1021', '11-1021', '11-1021'];['13-20', '43-40', '11-10', '11-10', '11-10'];['13', '43', '11', '11', '11'];[('13-2072', '13-20', '13', 'commercial bank officer'), ('43-4141', '43-40', '43', 'personal banker'), ('11-1021', '11-10', '11', 'store manager'), ('11-1021', '11-10', '11', 'store manager'), ('11-1021', '11-10', '11', 'store manager')];5
152;4510;['senior systems network administrator', 'network administrator', 'network administrator'];['15-1244', '15-1244', '15-1244'];['15-12', '15-12', '15-12'];['15', '15', '15'];[('15-1244', '15-12', '15', 'senior systems network administrator'), ('15-1244', '15-12', '15', 'network administrator'), ('15-1244', '15-12', '15', 'network administrator')];3
153;4517;['director biometrics operations', 'training specialist', 'programmer ii', 'programmer', 'customer service associate'];['11-1021', '13-1151', '15-1251', '15-1251', '43-4051'];['11-10', '13-10', '15-12', '15-12', '43-40'];['11', '13', '15', '15', '43'];[('11-1021', '11-10', '11', 'director biometrics operations'), ('13-1151', '13-10', '13', 'training specialist'), ('15-1251', '15-12', '15', 'programmer ii'), ('15-1251', '15-12', '15', 'programmer'), ('43-4051', '43-40', '43', 'customer service associate')];5
154;4545;['manager food', 'food beverage manager catering'];['11-9051', '11-9051'];['11-90', '11-90'];['11', '11'];[('11-9051', '11-90', '11', 'manager food'), ('11-9051', '11-90', '11', 'food beverage manager catering')];2
155;4575;['truck driver', 'truck driver', 'truck driver', 'truck driver', 'truck driver', 'paul carrier', 'truck driver', 'truck driver'];['53-3032', '53-3032', '53-3032', '53-3032', '53-3032', '43-5052', '53-3032', '53-3032'];['53-30', '53-30', '53-30', '53-30', '53-30', '43-50', '53-30', '53-30'];['53', '53', '53', '53', '53', '43', '53', '53'];[('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'truck driver'), ('43-5052', '43-50', '43', 'paul carrier'), ('53-3032', '53-30', '53', 'truck driver'), ('53-3032', '53-30', '53', 'truck driver')];8
157;4619;['child youth program assistant poc', 'sales associate'];['21-1093', '41-2031'];['21-10', '41-20'];['21', '41'];[('21-1093', '21-10', '21', 'child youth program assistant poc'), ('41-2031', '41-20', '41', 'sales associate')];2
158;4639;['clerk typist iii', 'ticket agent', 'cashier', 'clerk'];['43-9061', '43-4181', '41-2011', '43-9061'];['43-90', '43-40', '41-20', '43-90'];['43', '43', '41', '43'];[('43-9061', '43-90', '43', 'clerk typist iii'), ('43-4181', '43-40', '43', 'ticket agent'), ('41-2011', '41-20', '41', 'cashier'), ('43-9061', '43-90', '43', 'clerk')];4
159;4647;['customer service lead', 'office assistant dispatch manager'];['43-1011', '43-6014'];['43-10', '43-60'];['43', '43'];[('43-1011', '43-10', '43', 'customer service lead'), ('43-6014', '43-60', '43', 'office assistant dispatch manager')];2
160;4651;['medical transcriptionist', 'medical transcriptionist', 'medical transcriptionist', 'computer operator', 'advertising coordinator administrative assistant'];['31-9094', '31-9094', '31-9094', '15-1299', '43-6014'];['31-90', '31-90', '31-90', '15-12', '43-60'];['31', '31', '31', '15', '43'];[('31-9094', '31-90', '31', 'medical transcriptionist'), ('31-9094', '31-90', '31', 'medical transcriptionist'), ('31-9094', '31-90', '31', 'medical transcriptionist'), ('15-1299', '15-12', '15', 'computer operator'), ('43-6014', '43-60', '43', 'advertising coordinator administrative assistant')];5
162;4688;['cashier', 'package handler'];['41-2011', '53-7062'];['41-20', '53-70'];['41', '53'];[('41-2011', '41-20', '41', 'cashier'), ('53-7062', '53-70', '53', 'package handler')];2
163;4698;['welder supervisor', 'sales associate', 'project manager'];['51-1011', '41-2031', '13-1082'];['51-10', '41-20', '13-10'];['51', '41', '13'];[('51-1011', '51-10', '51', 'welder supervisor'), ('41-2031', '41-20', '41', 'sales associate'), ('13-1082', '13-10', '13', 'project manager')];3
164;4703;['helpdesk coordinator', 'helpdesk technician', 'network operations engineer level ii helpdesk technician ii'];['15-1232', '15-1232', '15-1231'];['15-12', '15-12', '15-12'];['15', '15', '15'];[('15-1232', '15-12', '15', 'helpdesk coordinator'), ('15-1232', '15-12', '15', 'helpdesk technician'), ('15-1231', '15-12', '15', 'network operations engineer level ii helpdesk technician ii')];3
165;4719;['driver guard', 'security', 'truck driver salesman'];['33-9032', '33-9032', '53-3031'];['33-90', '33-90', '53-30'];['33', '33', '53'];[('33-9032', '33-90', '33', 'driver guard'), ('33-9032', '33-90', '33', 'security'), ('53-3031', '53-30', '53', 'truck driver salesman')];3
166;4740;['sales representative', 'sales representative', 'serviced sales accounts'];['41-4012', '41-4012', '41-4012'];['41-40', '41-40', '41-40'];['41', '41', '41'];[('41-4012', '41-40', '41', 'sales representative'), ('41-4012', '41-40', '41', 'sales representative'), ('41-4012', '41-40', '41', 'serviced sales accounts')];3
167;4743;['patient representative', 'schedule patients dental orthodontic appointments', 'patient representative', 'server hostess'];['29-2099', '31-9091', '29-2099', '35-3031'];['29-20', '31-90', '29-20', '35-30'];['29', '31', '29', '35'];[('29-2099', '29-20', '29', 'patient representative'), ('31-9091', '31-90', '31', 'schedule patients dental orthodontic appointments'), ('29-2099', '29-20', '29', 'patient representative'), ('35-3031', '35-30', '35', 'server hostess')];4
168;4745;['director admissions', 'director admissions', 'director admissions', 'asst director admissions'];['11-9033', '11-9033', '11-9033', '11-9033'];['11-90', '11-90', '11-90', '11-90'];['11', '11', '11', '11'];[('11-9033', '11-90', '11', 'director admissions'), ('11-9033', '11-90', '11', 'director admissions'), ('11-9033', '11-90', '11', 'director admissions'), ('11-9033', '11-90', '11', 'asst director admissions')];4
169;4773;['medical assistant', 'office assistant'];['31-9092', '43-6014'];['31-90', '43-60'];['31', '43'];[('31-9092', '31-90', '31', 'medical assistant'), ('43-6014', '43-60', '43', 'office assistant')];2
170;4787;['manager', 'loan officer'];['11-1021', '13-2072'];['11-10', '13-20'];['11', '13'];[('11-1021', '11-10', '11', 'manager'), ('13-2072', '13-20', '13', 'loan officer')];2
